name,price_level,rating,city
SUBWAY®Restaurants,1,3.5,Valdosta
Little Caesars Pizza,1,3.8,Live Oak
Texas Roadhouse,2,4.5,Valdosta
Fazoli's,1,4.4,Valdosta
SUBWAY®Restaurants,1,2.8,Valdosta
Red Lobster,2,4.1,Valdosta
SUBWAY®Restaurants,1,4.2,Valdosta
Pizza Hut,1,3.4,Valdosta
SUBWAY®Restaurants,1,3.2,Valdosta
Austins Cattle Co,2,4.3,Valdosta
Cheddar's Scratch Kitchen,2,4.1,Valdosta
Pilot Travel Center,-1,4,Valdosta
Subway,1,4,Live Oak
Subway,1,3,Jasper
Subway,1,4.1,Madison
SUBWAY®Restaurants,1,3.2,Lake Park
Mandarin Express,1,3.6,Valdosta
Jimmy John's,1,4.4,Valdosta
Chick-fil-A,1,4.4,Valdosta
Pretzelmaker,1,3.3,Valdosta
SUBWAY®Restaurants,1,1,Valdosta
Wendy's,1,4.2,Valdosta
SUBWAY® Restaurants,1,3,Valdosta
SUBWAY®Restaurants,1,4.3,Valdosta
Subway,1,3.6,Madison
Pizza Hut,1,4,Live Oak
Sonic Drive-In,1,3.1,Valdosta
Pizza Hut,1,3.2,Valdosta
Waffle House,1,4,Valdosta
Rodeo Mexican Restaurant,2,4.5,Lake Park
Cracker Barrel Old Country Store,2,4.2,Lake Park
Burger King,1,2.4,Valdosta
Jessie's Restaurant and Catering,1,4.2,Valdosta
Olive Garden Italian Restaurant,2,4.1,Valdosta
Arby's,1,3.6,Lee
Huddle House,1,4.1,Valdosta
IHOP,1,3.7,Valdosta
Burger King,1,2.8,Valdosta
Waffle House,1,3.9,Valdosta
Denny's,1,3.8,Valdosta
Krystal,1,3.6,Valdosta
Pizza Hut,1,3.9,Lake Park
Waffle House,1,3.9,Madison
Domino's Pizza,1,4.4,Lake Park
Moe's Southwest Grill,1,4.4,Valdosta
Waffle House,1,4.2,Valdosta
Popeyes Louisiana Kitchen,1,3.3,Valdosta
306 North Restaurant,2,4.3,Valdosta
Wendy's,1,3.8,Lake Park
Waffle House,1,4.2,Valdosta
Zacadoo's Grill,1,4.4,Valdosta
Hunan House,2,3.4,Valdosta
Huddle House,1,3.7,Jasper
Papa John's Pizza,1,3.7,Valdosta
Outback Steakhouse,2,3.9,Valdosta
Taco Bell,1,4.2,Live Oak
Long Horn Steakhouse,2,4.1,Valdosta
Wendy's,1,3.7,Valdosta
Friends Grille and Bar,2,4.5,Valdosta
Covington's Dining & Catering,-1,4.4,Valdosta
Spinnaker Beach Club and Paradise Grill,2,4.2,Panama City
Laketown Wharf Resort,-1,4.1,Panama City Beach
Schooners,2,4.5,Panama City
Sharky's Beachfront Restaurant,2,4.1,Panama City Beach
Firefly,2,4.5,Panama City Beach
Subway,1,4.4,Lynn Haven
Subway,1,3.4,Lynn Haven
Bonefish Grill,2,4.1,Panama City
Mc Donald's,1,2.6,Panama City Beach
O'Charley’s Restaurant & Bar,2,4.2,Panama City
Ketana Restaurant,2,3.5,Panama City Bch
Carrabba's Italian Grill,2,3.9,Panama City
The Wicked Wheel Bar & Grill,2,4.4,Panama City Beach
Hungry Howie's Pizza,1,3.9,Panama City
Saltwater Grill,3,4.4,Panama City Beach
Capt. Anderson's Restaurant,3,4.3,Panama City
Hibiscus Coffee & Guesthouse,-1,4.5,Santa Rosa Beach
Little Caesars Pizza,1,4.3,Panama City Beach
Domino's Pizza,1,3.7,Panama City Beach
Dunkin' Donuts,1,3.5,Panama City Beach
The Shrimp Boat Restaurant,2,3.4,Panama City
Taco Casa,1,3.7,Panama City
George's At Alys Beach,3,4.4,Alys Beach
China Wok,1,3,Panama City
SUBWAY®Restaurants,1,4.1,Panama City
SUBWAY®Restaurants,1,4.2,Panama City Beach
SUBWAY®Restaurants,1,4.2,Panama City
Hungry Howie's Pizza,1,3.8,Panama City Beach
Hunt's Oyster Bar & Seafood Restaurant,2,4.5,Panama City
Boon Docks,2,4.3,Panama City Beach
SUBWAY®Restaurants,1,3.9,Panama City Beach
Margaritaville Restaurant Panama City Beach,2,3.6,Panama City Beach
SUBWAY,1,4.1,Panama City
SUBWAY®Restaurants,1,3.7,Bonifay
Subway,1,4.3,Panama City
Subway,1,3.8,Panama City
Chili's Grill & Bar,2,4,Panama City
Subway,1,4.6,Chipley
SUBWAY®Restaurants,1,4.1,Panama City
Subway,1,3.8,Poncede Leon
Pizza Hut,1,3.6,Panama City
Little Caesars Pizza,1,4.2,Lynn Haven
Olive Garden Italian Restaurant,2,4.1,Panama City Beach
Hammerhead Fred's,2,3.9,Panama City Beach
The Red Bar,2,4.4,Grayton Beach
New Jin Jin Buffet Restaurant,-1,3.2,Panama City Beach
Moe's Southwest Grill,1,4.2,Panama City
J. Michael's Restaurant,2,4.4,Panama City Beach
Popeyes Louisiana Kitchen,1,3.9,Panama City
Cafe Thirty-A,3,4.7,Santa Rosa Beach
TGI Fridays,2,3.9,Panama City
Waffle House,1,4,Panama City
SUBWAY®Restaurants,1,4,Freeport
Subway,1,4.2,Panama City Beach
Schlotzsky's,1,4.3,Panama City
Shades Bar & Grill,2,4.4,Panama City Beach
SUBWAY®Restaurants,1,3.6,Panama City
Little Caesars Pizza,1,4.2,Callaway
Rock'it Lanes,-1,3.9,Panama City Beach
Dusty's Oyster Bar,2,4.4,Panama City Beach
Casa Marina Hotel and Restaurant,-1,4.3,Jacksonville Beach
Salt,4,4.1,Fernandina Beach
Bonefish Grill,2,4.2,Jacksonville Beach
Azurea,3,4.5,Atlantic Beach
Subway,1,3.7,Jacksonville
Ocean Bar & Grill,-1,4.7,Amelia Island
The Pub,-1,4.7,Amelia Island
Joe's Crab Shack,2,3.9,Jacksonville Beach
Roy's Restaurant,3,4.1,Jacksonville Beach
TPC Sawgrass,-1,4.7,Ponte Vedra Beach
Tijuana Flats,1,4.5,Jacksonville
Ruth's Chris Steak House,4,4.7,Ponte Vedra Beach
Sliders Oyster Bar,2,4.2,Neptune Beach
Eleven South,3,4.7,Jacksonville Beach
Sandy Bottoms,2,3.7,Fernandina Beach
Subway,1,4.2,Atlantic Beach
SUBWAY®Restaurants,1,4.2,Jacksonville
Cafe Karibo,2,4.4,Fernandina Beach
The Surf Beach Motel,2,3.7,Fernandina Beach
Restaurant Medure,3,4.3,Ponte Vedra Beach
North Beach Bistro,2,4.5,Atlantic Beach
Sliders Seaside Grill,2,4,Fernandina Beach
Al's Pizza,2,4,Jacksonville
Poe's Tavern,2,4.6,Atlantic Beach
Pusser's Bar and Grille,2,4.1,Ponte Vedra Beach
Brix Taphouse,-1,4,Jacksonville Beach
Sneakers Sports Grille,2,3.6,Jacksonville Beach
España Restaurant & Tapas,2,4.7,Fernandina Beach
Beachside Seafood Restaurant & Market,2,4.1,Jacksonville Beach
Culhane’s Irish Pub,2,4.7,Atlantic Beach
Aqua Grill,2,4.2,Ponte Vedra Beach
Rag Time Tavern, Seafood & Grille,2,4.3,Atlantic Beach
Carrabba's Italian Grill,2,4.1,Jacksonville Beach
Davinci's Pizza,2,4.5,Atlantic Beach
North Beach Fish Camp,2,4.5,Neptune Beach
Poppy's Italiano,1,4.6,Ponte Vedra Beach
SUBWAY®Restaurants,1,3.2,Jacksonville
Pizza Hut,1,2.7,Jacksonville
Metro Diner,2,4.7,Jacksonville Beach
Wasabi,2,4.1,Jacksonville
Hot Wok,2,3.9,Jacksonville
29 South,2,4.4,Fernandina Beach
Hana Sushi,2,4.5,Fernandina Beach
SUBWAY®Restaurants,1,3.1,Fernandina Beach
Verandah Restaurant,3,4.5,Fernandina Beach
Popeyes Louisiana Kitchen,1,3.5,Neptune Beach
The Pier Cantina and Sandbar,2,4,Jacksonville Beach
China Wok,1,3.6,Jacksonville
SUBWAY®Restaurants,1,2.6,Jacksonville
Domino's Pizza,1,3.9,Fernandina Beach
Mellow Mushroom,2,4.5,Jacksonville Beach
Waffle House,1,4.3,Jacksonville Beach
Long Horn Steakhouse,2,4.2,Jacksonville
Marker 32,3,4.5,Jacksonville
Little Caesars Pizza,1,3.8,Jacksonville
Chili's Grill & Bar,2,4.1,Jacksonville
Daruma Japanese Steak House,2,4,Jacksonville
Buddha Thai Bistro,2,4.2,Jacksonville Beach
Marché Burette,-1,4.4,Fernandina Beach
Papa John's Pizza,1,2,Atlantic Beach
The Jacksonville Landing,-1,3.8,Jacksonville
Burger King,1,3,Jacksonville
River City Brewing Company,2,3.5,Jacksonville
Ruth's Chris Steak House,4,4.6,Jacksonville
Hooters,2,3.4,Jacksonville
Blue Fish Restaurant and Oyster Bar,2,4.2,Jacksonville
Taverna,2,4.6,Jacksonville
Jacksonville Farmers Market,-1,4.3,Jacksonville
Ruby Tuesday,2,4.1,Jacksonville
Olive Garden Italian Restaurant,2,4,Jacksonville
Atrium Cafe & Grill,-1,4.2,Jacksonville
Museum Of Contemporary Art Jacksonville,-1,4.4,Jacksonville
Benny's Steak & Seafood,2,3.5,Jacksonville
Bistro Aix,3,4.3,Jacksonville
Wing-It,2,4.1,Jacksonville
Little Caesars Pizza,1,3.6,Jacksonville
SUBWAY,1,3.8,Jacksonville
SUBWAY®Restaurants,1,3.1,Jacksonville
SUBWAY®Restaurants,1,3.8,Jacksonville
Restaurant Orsay,3,4.7,Jacksonville
Pizza Hut,1,3.3,Jacksonville
SUBWAY®Restaurants,1,3.3,Hilliard
Chart House,3,4.2,Jacksonville
Tokyo Sushi and Grill,2,4.6,Jacksonville
SUBWAY®Restaurants,1,3.9,Jacksonville
SUBWAY®Restaurants,1,3.8,Folkston
SUBWAY®Restaurants,1,1.8,Jacksonville
Long Horn Steakhouse,2,4.2,Jacksonville
Kickbacks Gastropub,2,4,Jacksonville
Black Sheep Restaurant,2,4.4,Jacksonville
Moe's Southwest Grill,1,3.6,Jacksonville
Zaxby's Chicken Fingers & Buffalo Wings,1,4.1,Jacksonville
SUBWAY®Restaurants,1,4,Jacksonville
SUBWAY®Restaurants,1,3.3,Jacksonville
Subway,1,4.1,Orange Park
SUBWAY®Restaurants,1,3.2,Jacksonville
Pilot Travel Center,-1,3.7,Baldwin
Biscottis,2,4.6,Jacksonville
Chicago Pizza at The Landing,2,3.3,Jacksonville
